Year,Faculty,Count
2021.0,Faculty of Allied Health Sciences,39
2021.0,Faculty of Nursing,11
2020.0,Faculty of Veterinary Science,71
2018.0,Faculty of Science,312
2018.0,Faculty of Psychology,2
2019.0,College of Public Health Sciences,20
2021.0,Faculty of Economics,8
2022.0,Faculty of Education,12
2018.0,Faculty of Economics,5
2019.0,Social Research Institute,5
2019.0,Faculty of Allied Health Sciences,34
2023.0,Faculty of Arts,1
2022.0,College of Public Health Sciences,19
2018.0,The Petroleum and Petrochemical College,43
2023.0,College of Public Health Sciences,12
2023.0,Faculty of Sports Science,3
2023.0,The Petroleum and Petrochemical College,33
2018.0,Faculty of Sports Science,3
2023.0,Faculty of Economics,6
2023.0,Faculty of Veterinary Science,56
2020.0,Energy Research Institute,4
2020.0,Faculty of Engineering,208
2020.0,The Petroleum and Petrochemical College,39
2019.0,Graduate School,73
2021.0,Faculty of Arts,2
2019.0,School of Agricultural Resources,1
2019.0,Faculty of Arts,1
2023.0,School of Agricultural Resources,4
2023.0,The Halal Science Center,1
2018.0,Faculty of Allied Health Sciences,14
2018.0,Center of Excellence on Hazardous Substance Management,3
2021.0,Sasin Graduate Institute of Business Administration,11
2018.0,Faculty of Dentistry,47
2020.0,Faculty of Economics,10
2019.0,Faculty of Economics,8
2020.0,Faculty of Science,310
2020.0,Faculty of Medicine,217
2022.0,Faculty of Commerce and Accountancy,18
2022.0,College of Population Studies,5
2023.0,Faculty of Allied Health Sciences,20
2019.0,Faculty of Dentistry,40
2020.0,Faculty of Psychology,3
2023.0,Faculty of Pharmaceutical Science,58
2019.0,Faculty of Sports Science,5
2018.0,Faculty of Commerce and Accountancy,8
2021.0,Social Research Institute,2
2022.0,Institute of Asian Studies,2
2019.0,Faculty of Engineering,170
2018.0,Faculty of Engineering,154
2022.0,Faculty of Science,351
2018.0,School of Agricultural Resources,4
2021.0,Faculty of Science,357
2019.0,The Petroleum and Petrochemical College,44
2022.0,Faculty of Pharmaceutical Science,112
2022.0,Faculty of Sports Science,19
2018.0,College of Population Studies,3
2020.0,Faculty of Education,12
2022.0,Center of Excellence on Hazardous Substance Management,1
2023.0,Faculty of Architecture,4
2020.0,Faculty of Pharmaceutical Science,67
2020.0,Faculty of Nursing,7
2021.0,Energy Research Institute,3
2018.0,Faculty of Architecture,2
2020.0,Institute of Asian Studies,3
2021.0,Faculty of Fine and Applied Arts,1
2021.0,Faculty of Psychology,8
2021.0,Faculty of Political Science,3
2022.0,Sasin Graduate Institute of Business Administration,17
2021.0,Transportation Institute,3
2020.0,School of Agricultural Resources,4
2020.0,Center of Excellence on Hazardous Substance Management,5
2020.0,Faculty of Dentistry,34
2018.0,College of Public Health Sciences,34
2021.0,Faculty of Pharmaceutical Science,93
2022.0,Faculty of Economics,8
2022.0,Faculty of Political Science,1
2023.0,Faculty of Nursing,7
2023.0,Faculty of Dentistry,68
2019.0,Center of Excellence on Hazardous Substance Management,2
2021.0,Faculty of Education,12
2019.0,Faculty of Psychology,3
2018.0,Faculty of Fine and Applied Arts,1
2018.0,Faculty of Medicine,162
2019.0,Faculty of Veterinary Science,72
2022.0,Faculty of Communication Arts,1
2023.0,Faculty of Medicine,169
2023.0,Center of Excellence on Hazardous Substance Management,2
2021.0,Faculty of Commerce and Accountancy,10
2022.0,Faculty of Medicine,324
2022.0,School of Agricultural Resources,1
2019.0,Faculty of Education,2
2023.0,Faculty of Communication Arts,3
2023.0,Graduate School,52
2022.0,Graduate School,115
2022.0,Transportation Institute,1
2023.0,Faculty of Political Science,4
2022.0,Faculty of Veterinary Science,107
2018.0,Faculty of Veterinary Science,72
2020.0,Faculty of Arts,3
2023.0,Transportation Institute,7
2023.0,Faculty of Fine and Applied Arts,1
2022.0,Faculty of Nursing,11
2022.0,Faculty of Architecture,7
2020.0,College of Population Studies,3
2023.0,Energy Research Institute,3
2020.0,Faculty of Commerce and Accountancy,19
2018.0,Energy Research Institute,1
2018.0,Faculty of Nursing,5
2018.0,Institute of Asian Studies,2
2019.0,Institute of Asian Studies,4
2023.0,College of Population Studies,9
2019.0,Faculty of Architecture,1
2020.0,Faculty of Allied Health Sciences,30
2022.0,Faculty of Engineering,219
2020.0,College of Public Health Sciences,19
2021.0,Faculty of Sports Science,6
2021.0,Faculty of Law,1
2021.0,Faculty of Medicine,265
